year,Recycled,Waste,Total
2009,542333.3999999999,2591531.1999999965,3133864.600000002
2010,520237.4999999997,2534393.8,3054631.3000000007
2011,521395.39999999973,2663828.900000002,3185224.2999999993
2012,494795.39999999956,2586978.8999999966,3081774.3000000077
2013,504466.19999999984,2553356.800000001,3057823.0000000023
2014,528324.8999999998,2528444.4999999995,3056769.399999999
2015,552411.0999999997,2498990.8,3051401.9000000004
2016,585830.0000000005,2503022.100000004,3088852.100000003
2017,600721.5000000006,2504617.1999999997,3105338.7
2018,628501.0999999999,2528028.2,3156529.300000001
2019,631493.9999999994,2513444.999999999,3144939.0000000005
